[2025-04-19 01:36:57,644] 17 root - INFO - initiate the data ingestion
[2025-04-19 01:36:59,039] 62 root - INFO - Performed train test split on the dataframe
[2025-04-19 01:36:59,039] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-19 01:36:59,039] 67 root - INFO - Exporting train and test file path.
[2025-04-19 01:36:59,075] 77 root - INFO - exported train and test file path
[2025-04-19 01:36:59,075] 19 root - INFO - Data ingestion Completed!
[2025-04-19 01:36:59,076] 22 root - INFO - Initiate data validation!
[2025-04-19 01:36:59,117] 36 root - INFO - Required number of columns:2
[2025-04-19 01:36:59,118] 37 root - INFO - Dataframe has columns:31
[2025-04-19 01:36:59,118] 36 root - INFO - Required number of columns:2
[2025-04-19 01:36:59,118] 37 root - INFO - Dataframe has columns:31
[2025-04-19 01:36:59,209] 26 root - INFO - Data Validation Completed!
[2025-04-19 01:36:59,210] 29 root - INFO - Initiate transformation!
[2025-04-19 01:36:59,210] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-19 01:36:59,210] 55 root - INFO - starting data transformation!
[2025-04-19 01:36:59,231] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-19 01:36:59,232] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-19 01:36:59,242] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 01:36:59,243] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 01:36:59,244] 33 root - INFO - Data Transformation Completed!
[2025-04-19 01:36:59,245] 36 root - INFO - Initiate training!
[2025-04-19 01:37:56,445] 124 root - INFO - Exported run d06d8b3bbdf84e80bd838c0a0a977b4a \u2192 MongoDB RUSHXBH910.GPU_Carbon_Footprints
[2025-04-19 01:37:56,446] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 01:37:56,455] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 01:37:56,455] 218 root - INFO - Model saved to Artifacts\04_19_2025_01_36_53\model_trainer\trained_model\model.pkl
[2025-04-19 01:37:56,456] 40 root - INFO - Model Training Completed!
