[2025-04-19 14:25:49,327] 22 root - INFO - Initiate the data ingestion
[2025-04-19 14:25:50,662] 62 root - INFO - Performed train test split on the dataframe
[2025-04-19 14:25:50,662] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-19 14:25:50,663] 67 root - INFO - Exporting train and test file path.
[2025-04-19 14:25:50,700] 77 root - INFO - exported train and test file path
[2025-04-19 14:25:50,701] 26 root - INFO - Data Ingestion Completed!
[2025-04-19 14:25:50,701] 29 root - INFO - Initiate data validation
[2025-04-19 14:25:50,748] 36 root - INFO - Required number of columns:2
[2025-04-19 14:25:50,748] 37 root - INFO - Dataframe has columns:31
[2025-04-19 14:25:50,748] 36 root - INFO - Required number of columns:2
[2025-04-19 14:25:50,748] 37 root - INFO - Dataframe has columns:31
[2025-04-19 14:25:50,854] 33 root - INFO - Data Validation Completed!
[2025-04-19 14:25:50,854] 36 root - INFO - Initiate data transformation
[2025-04-19 14:25:50,854] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-19 14:25:50,854] 55 root - INFO - starting data transformation!
[2025-04-19 14:25:50,868] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-19 14:25:50,868] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-19 14:25:50,877] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 14:25:50,878] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 14:25:50,879] 40 root - INFO - Data Transformation Completed!
[2025-04-19 14:25:50,879] 43 root - INFO - Initiate model training
[2025-04-19 14:26:47,172] 127 root - INFO - Exported run 0199555d61ef452e915257c867a9b3b9 \u2192 MongoDB RUSHXBH910.GPU_Carbon_Footprints
[2025-04-19 14:26:47,254] 135 root - INFO - Dumped MongoDB collection RUSHXBH910.GPU_Carbon_Footprints to ./exported_gpu_runs.json
[2025-04-19 14:26:47,254] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 14:26:47,256] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 14:26:47,256] 231 root - INFO - Model saved to Artifacts\04_19_2025_14_25_44\model_trainer\trained_model\model.pkl
[2025-04-19 14:26:47,257] 47 root - INFO - Model Training Completed!
[2025-04-19 14:26:47,257] 51 root - INFO - Running LLM evaluation on latest model metrics...
[2025-04-19 14:26:47,348] 55 root - INFO - LLM evaluation completed successfully.
