[2025-04-19 14:23:20,244] 22 root - INFO - Initiate the data ingestion
[2025-04-19 14:23:21,863] 62 root - INFO - Performed train test split on the dataframe
[2025-04-19 14:23:21,863] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-19 14:23:21,864] 67 root - INFO - Exporting train and test file path.
[2025-04-19 14:23:21,897] 77 root - INFO - exported train and test file path
[2025-04-19 14:23:21,898] 26 root - INFO - Data Ingestion Completed!
[2025-04-19 14:23:21,898] 29 root - INFO - Initiate data validation
[2025-04-19 14:23:21,945] 36 root - INFO - Required number of columns:2
[2025-04-19 14:23:21,946] 37 root - INFO - Dataframe has columns:31
[2025-04-19 14:23:21,946] 36 root - INFO - Required number of columns:2
[2025-04-19 14:23:21,946] 37 root - INFO - Dataframe has columns:31
[2025-04-19 14:23:22,035] 33 root - INFO - Data Validation Completed!
[2025-04-19 14:23:22,036] 36 root - INFO - Initiate data transformation
[2025-04-19 14:23:22,036] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-19 14:23:22,036] 55 root - INFO - starting data transformation!
[2025-04-19 14:23:22,056] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-19 14:23:22,056] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-19 14:23:22,065] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 14:23:22,066] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 14:23:22,067] 40 root - INFO - Data Transformation Completed!
[2025-04-19 14:23:22,067] 43 root - INFO - Initiate model training
[2025-04-19 14:24:18,646] 127 root - INFO - Exported run 834daeed72bc4f6cb37d3d8028ef308b \u2192 MongoDB RUSHXBH910.GPU_Carbon_Footprints
[2025-04-19 14:24:18,688] 135 root - INFO - Dumped MongoDB collection RUSHXBH910.GPU_Carbon_Footprints to ./exported_gpu_runs.json
[2025-04-19 14:24:18,688] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 14:24:18,691] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 14:24:18,691] 231 root - INFO - Model saved to Artifacts\04_19_2025_14_23_15\model_trainer\trained_model\model.pkl
[2025-04-19 14:24:18,691] 47 root - INFO - Model Training Completed!
[2025-04-19 14:24:18,691] 51 root - INFO - Running LLM evaluation on latest model metrics...
