[2025-04-19 00:46:14,506] 17 root - INFO - initiate the data ingestion
[2025-04-19 00:46:16,439] 62 root - INFO - Performed train test split on the dataframe
[2025-04-19 00:46:16,439] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-19 00:46:16,440] 67 root - INFO - Exporting train and test file path.
[2025-04-19 00:46:16,508] 77 root - INFO - exported train and test file path
[2025-04-19 00:46:16,509] 19 root - INFO - Data ingestion Completed!
[2025-04-19 00:46:16,509] 22 root - INFO - Initiate data validation!
[2025-04-19 00:46:16,609] 36 root - INFO - Required number of columns:2
[2025-04-19 00:46:16,610] 37 root - INFO - Dataframe has columns:31
[2025-04-19 00:46:16,610] 36 root - INFO - Required number of columns:2
[2025-04-19 00:46:16,610] 37 root - INFO - Dataframe has columns:31
[2025-04-19 00:46:16,795] 26 root - INFO - Data Validation Completed!
[2025-04-19 00:46:16,795] 29 root - INFO - Initiate transformation!
[2025-04-19 00:46:16,795] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-19 00:46:16,795] 55 root - INFO - starting data transformation!
[2025-04-19 00:46:16,832] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-19 00:46:16,832] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-19 00:46:16,849] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 00:46:16,852] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 00:46:16,854] 33 root - INFO - Data Transformation Completed!
[2025-04-19 00:46:16,854] 36 root - INFO - Initiate training!
[2025-04-19 00:48:00,111] 89 root - WARNING - Could not log GPU metrics at pre_train: 'function' object has no attribute 'energy_kwh'
[2025-04-19 00:48:00,750] 89 root - WARNING - Could not log GPU metrics at post_train: 'function' object has no attribute 'energy_kwh'
[2025-04-19 00:48:13,422] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 00:48:13,435] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 00:48:13,435] 203 root - INFO - Model saved to Artifacts\04_19_2025_00_45_56\model_trainer\trained_model\model.pkl
[2025-04-19 00:48:13,436] 40 root - INFO - Model Training Completed!
