[2025-04-19 00:50:57,570] 17 root - INFO - initiate the data ingestion
[2025-04-19 00:50:59,319] 62 root - INFO - Performed train test split on the dataframe
[2025-04-19 00:50:59,319] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-19 00:50:59,320] 67 root - INFO - Exporting train and test file path.
[2025-04-19 00:50:59,388] 77 root - INFO - exported train and test file path
[2025-04-19 00:50:59,389] 19 root - INFO - Data ingestion Completed!
[2025-04-19 00:50:59,389] 22 root - INFO - Initiate data validation!
[2025-04-19 00:50:59,478] 36 root - INFO - Required number of columns:2
[2025-04-19 00:50:59,480] 37 root - INFO - Dataframe has columns:31
[2025-04-19 00:50:59,480] 36 root - INFO - Required number of columns:2
[2025-04-19 00:50:59,480] 37 root - INFO - Dataframe has columns:31
[2025-04-19 00:50:59,654] 26 root - INFO - Data Validation Completed!
[2025-04-19 00:50:59,655] 29 root - INFO - Initiate transformation!
[2025-04-19 00:50:59,655] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-19 00:50:59,655] 55 root - INFO - starting data transformation!
[2025-04-19 00:50:59,695] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-19 00:50:59,695] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-19 00:50:59,715] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 00:50:59,719] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 00:50:59,721] 33 root - INFO - Data Transformation Completed!
[2025-04-19 00:50:59,721] 36 root - INFO - Initiate training!
[2025-04-19 00:53:01,500] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 00:53:01,536] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 00:53:01,536] 169 root - INFO - Model saved to Artifacts\04_19_2025_00_50_49\model_trainer\trained_model\model.pkl
[2025-04-19 00:53:01,540] 40 root - INFO - Model Training Completed!
