[2025-04-19 13:40:30,594] 17 root - INFO - initiate the data ingestion
[2025-04-19 13:40:32,562] 62 root - INFO - Performed train test split on the dataframe
[2025-04-19 13:40:32,562] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-19 13:40:32,563] 67 root - INFO - Exporting train and test file path.
[2025-04-19 13:40:32,635] 77 root - INFO - exported train and test file path
[2025-04-19 13:40:32,636] 19 root - INFO - Data ingestion Completed!
[2025-04-19 13:40:32,636] 22 root - INFO - Initiate data validation!
[2025-04-19 13:40:32,714] 36 root - INFO - Required number of columns:2
[2025-04-19 13:40:32,715] 37 root - INFO - Dataframe has columns:31
[2025-04-19 13:40:32,715] 36 root - INFO - Required number of columns:2
[2025-04-19 13:40:32,715] 37 root - INFO - Dataframe has columns:31
[2025-04-19 13:40:32,891] 26 root - INFO - Data Validation Completed!
[2025-04-19 13:40:32,891] 29 root - INFO - Initiate transformation!
[2025-04-19 13:40:32,891] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-19 13:40:32,892] 55 root - INFO - starting data transformation!
[2025-04-19 13:40:32,923] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-19 13:40:32,923] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-19 13:40:32,943] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 13:40:32,946] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 13:40:32,948] 33 root - INFO - Data Transformation Completed!
[2025-04-19 13:40:32,948] 36 root - INFO - Initiate training!
[2025-04-19 13:40:35,737] 111 root - INFO - Exported run dd6c519452e64db2938f83263a1b56a0 \u2192 MongoDB GPU_Carbon_Footprints
